epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,78.8088,1.72896,3.45649,1.49251,0.39333,0.39237,0.34566,0.18647,1.71138,2.8699,1.51726,0.00996109,0.00332036,0.00996109,0.00332036,0.00996109,0.00332036,0.00996109,0.00332036
2,144.242,1.61772,2.24474,1.38394,0.51429,0.54642,0.53365,0.27333,1.66106,2.21697,1.43959,0.0197635,0.00658782,0.0197635,0.00658782,0.0197635,0.00658782,0.0197635,0.00658782
3,195.071,1.66166,1.98796,1.39663,0.39349,0.43046,0.38242,0.17727,1.88201,2.32922,1.63367,0.0293679,0.00978929,0.0293679,0.00978929,0.0293679,0.00978929,0.0293679,0.00978929
4,245.992,1.70449,1.86289,1.42176,0.47844,0.52051,0.4524,0.23398,1.76228,2.04088,1.57586,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,295.936,1.66532,1.69464,1.39618,0.51019,0.49532,0.48415,0.25793,1.66927,1.86808,1.44684,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,346.209,1.62581,1.59086,1.37366,0.64547,0.56294,0.61318,0.30581,1.68226,1.53785,1.44909,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,396.111,1.58725,1.51995,1.3454,0.6106,0.58563,0.606,0.31513,1.65361,1.55607,1.435,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,445.593,1.58026,1.48441,1.34491,0.65308,0.55434,0.6023,0.31775,1.63466,1.65521,1.45953,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,494.901,1.54044,1.41606,1.31538,0.65,0.59701,0.63804,0.34889,1.58165,1.4708,1.38901,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,544.268,1.51833,1.38236,1.30318,0.60527,0.4922,0.53795,0.27484,1.74538,2.00218,1.54631,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
