epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,53.6432,1.72943,3.48218,1.45236,0.44982,0.3964,0.38748,0.19729,1.71561,2.82355,1.42566,0.00996109,0.00332036,0.00996109,0.00332036,0.00996109,0.00332036,0.00996109,0.00332036
2,106.338,1.62304,2.2353,1.35531,0.49648,0.49968,0.47878,0.25476,1.62388,2.32056,1.41028,0.0197635,0.00658782,0.0197635,0.00658782,0.0197635,0.00658782,0.0197635,0.00658782
3,158.11,1.66985,1.97013,1.38843,0.46332,0.35735,0.36022,0.16924,1.99904,2.73355,1.6761,0.0293679,0.00978929,0.0293679,0.00978929,0.0293679,0.00978929,0.0293679,0.00978929
4,209.863,1.70317,1.84228,1.42103,0.44844,0.48342,0.42417,0.2152,1.76029,2.36428,1.547,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,261.574,1.66661,1.71186,1.40353,0.58828,0.53641,0.55137,0.29257,1.63552,1.65754,1.44183,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,312.44,1.62737,1.58241,1.36902,0.59819,0.53192,0.55345,0.29247,1.65191,1.67337,1.46881,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,363.924,1.58629,1.5104,1.35004,0.62577,0.60386,0.62499,0.32239,1.62969,1.45413,1.44859,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,415.347,1.5883,1.48808,1.34512,0.69278,0.63436,0.68055,0.35864,1.5918,1.36518,1.40132,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,466.522,1.54145,1.41104,1.31578,0.69411,0.63123,0.67461,0.36705,1.55377,1.28468,1.34196,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,517.642,1.528,1.38445,1.30849,0.66183,0.62823,0.65663,0.35088,1.582,1.30054,1.3606,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,568.81,1.52698,1.33292,1.29934,0.64651,0.63705,0.66647,0.36185,1.5438,1.34033,1.36474,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,619.967,1.50763,1.31722,1.28728,0.7204,0.66643,0.71145,0.39169,1.52259,1.24862,1.31785,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,671.402,1.49707,1.29733,1.28214,0.72458,0.67534,0.72329,0.37885,1.60186,1.27374,1.36209,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,721.523,1.50295,1.28936,1.2856,0.73596,0.68033,0.73466,0.40784,1.5405,1.20743,1.35688,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,771.621,1.48538,1.27713,1.27122,0.70823,0.68005,0.72919,0.40531,1.50783,1.1903,1.32359,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,821.468,1.47447,1.23573,1.26532,0.72403,0.6578,0.7149,0.39551,1.51187,1.20718,1.3088,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,871.651,1.46786,1.22197,1.25671,0.73252,0.67923,0.73403,0.40865,1.52037,1.16337,1.30547,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,921.942,1.45449,1.20162,1.25392,0.73631,0.71482,0.76118,0.43003,1.48091,1.13117,1.29333,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,971.978,1.45439,1.20079,1.25254,0.70207,0.6715,0.71098,0.39377,1.53278,1.23419,1.33293,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1039.95,1.44556,1.18275,1.24748,0.74888,0.72429,0.7796,0.44204,1.4522,1.08481,1.27963,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1110.52,1.42889,1.16454,1.24151,0.75838,0.72537,0.7838,0.43947,1.47373,1.06302,1.28999,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1162.75,1.43482,1.16621,1.23843,0.75281,0.72184,0.77478,0.44228,1.45609,1.06739,1.26728,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
