epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,81.4935,1.72273,3.51693,1.46247,0.38052,0.39053,0.32984,0.15527,1.84044,2.94799,1.51888,0.00996109,0.00332036,0.00996109,0.00332036,0.00996109,0.00332036,0.00996109,0.00332036
2,161.33,1.62362,2.23941,1.36648,0.49002,0.49131,0.47872,0.24074,1.68121,2.36822,1.4901,0.0197635,0.00658782,0.0197635,0.00658782,0.0197635,0.00658782,0.0197635,0.00658782
3,239.894,1.66438,1.9738,1.38904,0.44093,0.46965,0.41865,0.20985,1.74292,2.8945,1.50926,0.0293679,0.00978929,0.0293679,0.00978929,0.0293679,0.00978929,0.0293679,0.00978929
4,318.39,1.70236,1.85707,1.42499,0.47835,0.48777,0.45094,0.2302,1.76743,2.04193,1.60386,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,396.688,1.66427,1.69175,1.39973,0.54172,0.46109,0.45281,0.24011,1.6933,2.12169,1.49989,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,474.704,1.62484,1.5802,1.3717,0.57114,0.52149,0.53708,0.28021,1.69919,1.75846,1.51706,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,552.413,1.58059,1.51095,1.34584,0.58817,0.60292,0.60658,0.30877,1.6654,1.4798,1.45384,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,630.37,1.58255,1.47703,1.34706,0.67214,0.58294,0.6263,0.32643,1.66748,1.44727,1.4855,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,707.622,1.54297,1.4096,1.31596,0.67578,0.63943,0.67994,0.36223,1.57001,1.3377,1.35723,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,785.428,1.52243,1.37777,1.30076,0.71481,0.65397,0.70362,0.38102,1.53409,1.28706,1.34433,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,864.053,1.52413,1.33301,1.29828,0.69028,0.6577,0.70061,0.38193,1.52032,1.28764,1.34498,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,941.745,1.50945,1.32029,1.28634,0.70624,0.65544,0.70278,0.382,1.51612,1.24147,1.30964,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1019.34,1.49514,1.28857,1.27716,0.70022,0.62002,0.69092,0.36863,1.61234,1.37356,1.38162,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1096.73,1.49934,1.29546,1.28626,0.73343,0.67131,0.73092,0.40326,1.51431,1.20816,1.34049,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1174.26,1.48598,1.26863,1.27684,0.73473,0.68597,0.74164,0.40743,1.51602,1.17135,1.32531,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
