method,auroc,auprc,auroc_bootstrap_mean,auroc_lower_95,auroc_upper_95,auroc_valid_replicates,auroc_invalid_replicates,auprc_bootstrap_mean,auprc_lower_95,auprc_upper_95,auprc_valid_replicates,auprc_invalid_replicates
raw_confidence_risk,0.9521473678811168,0.9834347680465737,0.9522320215731507,0.944448659936807,0.9598166757217143,10000,0,0.9834592505765551,0.979738799687726,0.9869356786194236,10000,0
calibrated_confidence_risk,0.9521473678811168,0.9834347680465737,0.9522320215731507,0.944448659936807,0.9598166757217143,10000,0,0.9834592505765551,0.979738799687726,0.9869356786194236,10000,0
class_consistency_risk,0.6903294739762218,0.8687148406617914,0.6905905957934987,0.6755097587383481,0.7061835836331525,10000,0,0.8687426070533633,0.8579613026976626,0.879080728336575,10000,0
localisation_risk,0.8703641656021611,0.958179834953947,0.8704277222969317,0.8567086775036491,0.8839852743170432,10000,0,0.9581602421531624,0.9516874467571762,0.964078550685886,10000,0
calibrated_plus_class_risk,0.9484207945521159,0.9798258610837123,0.9484997487001703,0.9396590018702076,0.9570283209419698,10000,0,0.9798476117459364,0.9749363194432297,0.9842962363205773,10000,0
calibrated_plus_localisation_risk,0.9499572589944935,0.9827018071441311,0.9500302360185995,0.9415405751055156,0.9582193315658137,10000,0,0.9827104891843895,0.9788001762399836,0.9862307241521852,10000,0
class_plus_localisation_risk,0.871137927212997,0.9563672474164677,0.8712439726635385,0.8579842296246338,0.8843978649932195,10000,0,0.9563821093195178,0.9500750994871687,0.9623861729923202,10000,0
trustpcb_risk,0.9473179754339807,0.980441456375942,0.9473940056664558,0.9385738403269807,0.9560047511443448,10000,0,0.9804499209377111,0.9759963162859209,0.9845519097695508,10000,0
