signal,group,count,mean,standard_deviation,q1,median,q3
calibrated_confidence,correct,1513,0.7147568776108111,0.29649961749090825,0.5887545751284892,0.8285692257721868,0.9459307129349391
calibrated_confidence,incorrect,5618,0.07681965998748023,0.15747131111632814,0.009496045235738076,0.01767765066885769,0.05144302235150894
class_consistency,correct,1513,0.9893093192333113,0.05471915461177046,1.0,1.0,1.0
class_consistency,incorrect,5618,0.9040227839088643,0.1481825783781869,0.85,1.0,1.0
localisation_stability,correct,1513,0.9477275970558533,0.04256624798785127,0.9357308519993206,0.9597201031292105,0.9744214426723264
localisation_stability,incorrect,5618,0.8419061878951669,0.10599015940647409,0.7925781726703667,0.869224693963952,0.9193227407404999
