method_A,method_B,observed_delta_auroc,bootstrap_mean,lower_95,upper_95,valid_replicates,invalid_replicates
trustpcb_risk,raw_confidence_risk,-0.004829392447136094,-0.004838015906694916,-0.009464860682072293,-0.0003814690666759416,10000,0
trustpcb_risk,calibrated_confidence_risk,-0.004829392447136094,-0.004838015906694916,-0.009464860682072293,-0.0003814690666759416,10000,0
calibrated_plus_class_risk,calibrated_confidence_risk,-0.0037265733290008374,-0.003732272872980392,-0.008154084618503976,0.00041348773228118847,10000,0
calibrated_plus_localisation_risk,calibrated_confidence_risk,-0.0021901088866232987,-0.00220178555455119,-0.006118264320558492,0.0015165139097218859,10000,0
class_plus_localisation_risk,calibrated_confidence_risk,-0.08100944066811977,-0.08098804890961211,-0.09153284955674437,-0.07066655717614127,10000,0
