epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,53.1218,1.74687,3.51854,1.46532,0.36482,0.3549,0.30334,0.15855,1.74682,3.17011,1.55017,0.00996109,0.00332036,0.00996109,0.00332036,0.00996109,0.00332036,0.00996109,0.00332036
2,104.96,1.62228,2.23126,1.35723,0.5058,0.43387,0.42855,0.21965,1.7234,2.4557,1.45309,0.0197635,0.00658782,0.0197635,0.00658782,0.0197635,0.00658782,0.0197635,0.00658782
3,155.905,1.67989,1.97524,1.39094,0.41679,0.4077,0.36227,0.18636,1.79607,2.49966,1.57935,0.0293679,0.00978929,0.0293679,0.00978929,0.0293679,0.00978929,0.0293679,0.00978929
4,207.032,1.71935,1.86567,1.43358,0.37198,0.37788,0.29754,0.15285,1.84557,3.03167,1.68099,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,257.345,1.65849,1.69994,1.4029,0.60144,0.53985,0.55239,0.28595,1.6459,1.78152,1.42545,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,307.734,1.63211,1.5923,1.3728,0.59628,0.56597,0.58365,0.30064,1.67973,1.62972,1.47709,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,357.592,1.5997,1.51064,1.35223,0.69457,0.60734,0.65527,0.34266,1.58621,1.3587,1.3827,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,407.926,1.583,1.46579,1.33834,0.64958,0.62038,0.65114,0.32994,1.64257,1.43163,1.4014,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,458.937,1.55091,1.4192,1.31641,0.66881,0.64035,0.67622,0.36591,1.54977,1.32914,1.34,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,511.416,1.53195,1.38755,1.30903,0.68968,0.63077,0.68409,0.36939,1.54693,1.35987,1.3653,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
