analysis_label,method,auroc,auprc,auroc_bootstrap_mean,auroc_lower_95,auroc_upper_95,auroc_valid_replicates,auroc_invalid_replicates,auprc_bootstrap_mean,auprc_lower_95,auprc_upper_95,auprc_valid_replicates,auprc_invalid_replicates
Primary IoU>=0.50 frozen weighted final-test evaluation,calibrated_confidence_risk,0.9530611231040702,0.9835656980279245,0.953049264947969,0.9482184384804774,0.9577875325264893,10000,0,0.9835552766917001,0.9812240868859466,0.9857832507460422,10000,0
Primary IoU>=0.50 frozen weighted final-test evaluation,equal_weight_trustpcb_risk,0.946307316614175,0.98001983009928,0.9462995392087585,0.9409808692384772,0.951402261403028,10000,0,0.9800056901844487,0.9774458675211363,0.9824342954326986,10000,0
Primary IoU>=0.50 frozen weighted final-test evaluation,weighted_trustpcb_risk,0.955351349615796,0.98560416067205,0.9553380949873117,0.9508677765926549,0.959642410991978,10000,0,0.9855911969675202,0.9837264417117864,0.9873396397898311,10000,0
