analysis_label,method,auroc,auprc,auroc_bootstrap_mean,auroc_lower_95,auroc_upper_95,auroc_valid_replicates,auroc_invalid_replicates,auprc_bootstrap_mean,auprc_lower_95,auprc_upper_95,auprc_valid_replicates,auprc_invalid_replicates
Secondary IoU>=0.75 sensitivity analysis,calibrated_confidence_risk,0.9344391432934079,0.9848499048088912,0.9344425809335452,0.9280486919453281,0.9405721455073315,10000,0,0.9848505035782847,0.9825338106481057,0.9869467752805785,10000,0
Secondary IoU>=0.75 sensitivity analysis,equal_weight_trustpcb_risk,0.9291902644026255,0.9830413777929796,0.9291786972675047,0.9221037487878486,0.9358497247112474,10000,0,0.983030231417056,0.9805478077647203,0.985288939376174,10000,0
Secondary IoU>=0.75 sensitivity analysis,weighted_trustpcb_risk,0.9364362661742041,0.9860902577318192,0.9364325186826925,0.9304283020489337,0.9422215839360328,10000,0,0.9860823746572441,0.9840652088316314,0.9879134952333324,10000,0
