epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,55.8758,1.7392,3.53855,1.46187,0.36155,0.37124,0.32322,0.17107,1.6782,2.95186,1.42601,0.00996109,0.00332036,0.00996109,0.00332036,0.00996109,0.00332036,0.00996109,0.00332036
2,107.016,1.62241,2.23124,1.35664,0.53712,0.50768,0.50917,0.25282,1.71466,2.11191,1.44985,0.0197635,0.00658782,0.0197635,0.00658782,0.0197635,0.00658782,0.0197635,0.00658782
3,158.395,1.67856,1.96416,1.39356,0.54055,0.43074,0.44551,0.20812,1.84253,2.41503,1.62644,0.0293679,0.00978929,0.0293679,0.00978929,0.0293679,0.00978929,0.0293679,0.00978929
4,209.731,1.71108,1.86264,1.43788,0.49301,0.47206,0.45597,0.23131,1.73843,2.10061,1.51751,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,261.113,1.66324,1.69547,1.40299,0.5441,0.5411,0.53457,0.2764,1.69427,1.83719,1.49308,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,311.968,1.62366,1.5923,1.36726,0.57679,0.55766,0.56975,0.29268,1.68681,1.68295,1.48693,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,362.706,1.60221,1.52127,1.35238,0.65371,0.63407,0.66211,0.35478,1.57376,1.41469,1.38491,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,412.848,1.59011,1.47956,1.3438,0.62435,0.57903,0.60269,0.30291,1.69963,1.53412,1.47173,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,462.308,1.54815,1.42789,1.31679,0.68225,0.63627,0.68802,0.37234,1.55061,1.33974,1.36261,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,511.93,1.53253,1.39021,1.30866,0.67256,0.62495,0.65789,0.3504,1.57268,1.36665,1.3539,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,561.271,1.51801,1.35019,1.29075,0.67705,0.60552,0.64761,0.35038,1.5611,1.42394,1.3763,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,611.078,1.51832,1.33711,1.29661,0.67195,0.6428,0.68872,0.3735,1.55955,1.33778,1.3712,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,659.364,1.50381,1.29182,1.27916,0.70852,0.67371,0.71532,0.3779,1.57492,1.25745,1.35301,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,708.892,1.48511,1.27943,1.27885,0.70032,0.65264,0.69732,0.36982,1.57254,1.30965,1.35628,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,758.268,1.49186,1.26862,1.27278,0.70135,0.69304,0.74483,0.41708,1.48737,1.17711,1.30096,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,808.136,1.48311,1.24603,1.26903,0.72574,0.70759,0.74858,0.40752,1.50195,1.16419,1.32601,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,857.376,1.46909,1.23624,1.26336,0.72579,0.69782,0.74937,0.4089,1.5212,1.1683,1.32752,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,907.111,1.45515,1.21287,1.25781,0.72858,0.72586,0.77185,0.43422,1.47098,1.09453,1.29645,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,957.06,1.44655,1.19052,1.2538,0.73817,0.71151,0.76114,0.42462,1.49378,1.13675,1.30081,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1006.28,1.44026,1.19314,1.24987,0.73646,0.70869,0.75353,0.42277,1.47601,1.13725,1.28575,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1056.42,1.44818,1.19129,1.24676,0.7544,0.71021,0.77111,0.43063,1.49621,1.09487,1.28866,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1106.54,1.4305,1.16007,1.23592,0.7707,0.72228,0.78467,0.43951,1.48009,1.07943,1.26798,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1156.48,1.41816,1.14544,1.22749,0.74164,0.74108,0.78712,0.44812,1.4647,1.04982,1.27383,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1206.32,1.42345,1.136,1.22428,0.74881,0.74065,0.78724,0.44617,1.45882,1.07286,1.27153,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1255.9,1.42121,1.14145,1.23239,0.74074,0.7413,0.77967,0.44691,1.43779,1.07397,1.26056,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1305.76,1.41134,1.11513,1.22131,0.76525,0.74113,0.79123,0.44925,1.45409,1.0496,1.25973,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1355.79,1.40373,1.10449,1.22313,0.76182,0.74532,0.80272,0.46229,1.43179,1.02973,1.24218,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1405.91,1.40321,1.10705,1.21729,0.76032,0.74659,0.80026,0.45821,1.44966,1.03146,1.24713,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,1455.87,1.40763,1.09451,1.21668,0.76679,0.75804,0.79952,0.45914,1.42435,1.0205,1.2467,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,1505.84,1.39461,1.09154,1.2115,0.77602,0.75139,0.8047,0.46409,1.4366,0.99726,1.24953,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,1555.3,1.38718,1.07488,1.21042,0.78393,0.74989,0.79863,0.45815,1.44392,1.0134,1.25632,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,1604.82,1.39294,1.06147,1.2065,0.76922,0.74635,0.7953,0.45277,1.4503,1.03459,1.25193,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
