conf_percent,class_percent,localisation_percent,fold_0_auprc,fold_0_auroc,fold_1_auprc,fold_1_auroc,fold_2_auprc,fold_2_auroc,fold_3_auprc,fold_3_auroc,fold_4_auprc,fold_4_auroc,mean_fold_auprc,mean_fold_auroc,equal_weight_distance
0,0,100,0.9527744338396877,0.8533850571262781,0.9566645744533392,0.8789293325451583,0.9495710965202202,0.853886351745031,0.9679307064955204,0.8840020512457781,0.9650015743698594,0.8820842079269046,0.9583884771357255,0.8704574001178301,0.816496580927726
0,1,99,0.9529340729015946,0.8539628228985333,0.9567005233161168,0.8792870651313249,0.9498359868541913,0.8546291930160002,0.9681042666721182,0.8847765733585613,0.9651701447532541,0.8826716354806242,0.9585489988994549,0.8710654579770087,0.8042802165083178
0,2,98,0.9531105341552103,0.8545956139824319,0.9567773106508156,0.8796338912362061,0.9500681972561186,0.8553397368404054,0.9682666432998522,0.8855086559035207,0.9653529750085662,0.883300220378872,0.9587151320741126,0.8716756236682872,0.7921279357948858
0,3,97,0.9532341284226038,0.8550433199271665,0.9568756253148359,0.8799545417860017,0.9503193002128998,0.8560470509201542,0.9684345519011942,0.8861700058354406,0.9655011467341725,0.8838202995506367,0.9588729505171413,0.87220704360388,0.7800427338721043
0,4,96,0.953334316627798,0.8554209936570822,0.9569063938943856,0.880113776412771,0.9505444749440538,0.8566316347029603,0.968565208926679,0.8867959894608407,0.9656303331376105,0.8842243898423674,0.9589961455061055,0.8726373568152044,0.768027777275449
0,5,95,0.9534505739531395,0.8557936650859396,0.9569382797768556,0.8803166369646827,0.9507804206611812,0.8572678944002687,0.9687121642169212,0.8873300206892893,0.9657437383424798,0.8846209969805475,0.9591250353901154,0.8730658428241455,0.7560864148142503
0,6,94,0.9535196654384063,0.8561313204073874,0.9569479817197688,0.8805129536278229,0.951028843013408,0.8578944648636079,0.9688441238048444,0.8878746618096939,0.9658703814130924,0.8850176041187278,0.9592421990779039,0.8734862009654479,0.7442221890448218
0,7,93,0.9536309291035959,0.8565039918362447,0.9569140282127443,0.8805391291829082,0.9512385528278311,0.8583692373280969,0.9689773272376462,0.888337960425103,0.9659788713713622,0.8853468628749528,0.9593479417506359,0.873819436329461,0.7324388484144371
0,8,92,0.95367065789809,0.8567416011365228,0.9568602374910141,0.8804955032577659,0.951428170612765,0.85879556362274,0.969078277663526,0.8887093066435606,0.9660342359492339,0.8855526495975934,0.9594143159229258,0.8740589248516365,0.7207403600927775
0,9,91,0.9537252561663209,0.8569892150389179,0.956818499463865,0.8804453334438523,0.9516152666270085,0.859170214002881,0.9691745728275156,0.8891054092765822,0.9661092928320174,0.8857921105112116,0.9594885775833454,0.874300456454689,0.7091309235019064
0,10,90,0.9538045473322181,0.8572443323929008,0.9567090956841973,0.8804475147401094,0.9518462879899039,0.859570702340273,0.9692180463852601,0.8893529734222206,0.9661767941599733,0.8859642230428747,0.9595509543103106,0.8745159491876757,0.697614984548545
0,11,89,0.9538267295164483,0.8574394221341817,0.9566696931409974,0.8803777132598818,0.9520482938062033,0.859945352720414,0.9693298070024311,0.8897172463793743,0.9662464763309282,0.8861587850351895,0.9596241999594017,0.8747277039058083,0.6861972505531239
0,12,88,0.953847851718623,0.8576145026712287,0.956510331253256,0.8802708297432832,0.95222439040157,0.860329692334524,0.969386863449901,0.889936517479797,0.96629295079207,0.8863196728365268,0.959652477523084,0.874894243013072,0.6748827058583341
0,13,87,0.9538503819168836,0.8576945394881645,0.9564195619451352,0.8801683088191989,0.9523936946823671,0.8606946534806958,0.9694744436502726,0.8901876182560874,0.9663558417488692,0.8865030100985157,0.9596987847887055,0.8750496260285324,0.6636766280852947
0,14,86,0.9538512547585514,0.8578346039178022,0.9562823719342196,0.8799938051186298,0.9525055754534526,0.8609304248406121,0.9695221614503293,0.8903750596806422,0.9664050799185676,0.8866975720908306,0.9597132887030242,0.8751662931297034,0.652584604987481
