analysis_label,method,auroc,auprc,auroc_bootstrap_mean,auroc_lower_95,auroc_upper_95,auroc_valid_replicates,auroc_invalid_replicates,auprc_bootstrap_mean,auprc_lower_95,auprc_upper_95,auprc_valid_replicates,auprc_invalid_replicates
Secondary IoU>=0.75 sensitivity analysis,raw_confidence_risk,0.9344391432934079,0.9848499048088912,0.9344425809335452,0.9280486919453281,0.9405721455073315,10000,0,0.9848505035782847,0.9825338106481057,0.9869467752805785,10000,0
Secondary IoU>=0.75 sensitivity analysis,calibrated_confidence_risk,0.9344391432934079,0.9848499048088912,0.9344425809335452,0.9280486919453281,0.9405721455073315,10000,0,0.9848505035782847,0.9825338106481057,0.9869467752805785,10000,0
Secondary IoU>=0.75 sensitivity analysis,class_consistency_risk,0.6566510838589619,0.9012524171783288,0.6566131815299733,0.6471848736854281,0.6662960449929272,10000,0,0.9012052451375514,0.8956349998617252,0.9065619805809143,10000,0
Secondary IoU>=0.75 sensitivity analysis,localisation_risk,0.8770887653447056,0.9735261038393865,0.8770697895856225,0.8686109887207238,0.8851867375342275,10000,0,0.9735073229867383,0.9707761378880934,0.9760276796162344,10000,0
Secondary IoU>=0.75 sensitivity analysis,calibrated_plus_class_risk,0.9292250221612471,0.9821757797399662,0.9292136280734993,0.9220292713080694,0.9359578802581957,10000,0,0.9821697797296376,0.9793506125917616,0.9847807756126246,10000,0
Secondary IoU>=0.75 sensitivity analysis,calibrated_plus_localisation_risk,0.9350890981349997,0.9856873801294885,0.9350699966999757,0.9288250102012957,0.9409258437542237,10000,0,0.9856740441826658,0.9836413194432052,0.9875090779823672,10000,0
Secondary IoU>=0.75 sensitivity analysis,class_plus_localisation_risk,0.8704349666710444,0.9697552559419419,0.8704138974273657,0.8610751709647227,0.8793536598406576,10000,0,0.9697372949486663,0.9664625441120149,0.9728122369104081,10000,0
Secondary IoU>=0.75 sensitivity analysis,trustpcb_risk,0.9291902644026255,0.9830413777929796,0.9291786972675047,0.9221037487878486,0.9358497247112474,10000,0,0.983030231417056,0.9805478077647203,0.985288939376174,10000,0
