epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,66.1909,1.74334,3.51155,1.49938,0.40911,0.35544,0.3436,0.16603,1.78892,3.01928,1.53152,0.00996109,0.00332036,0.00996109,0.00332036,0.00996109,0.00332036,0.00996109,0.00332036
2,125.808,1.62219,2.26067,1.37944,0.4193,0.46168,0.42838,0.21513,1.69385,2.89112,1.49444,0.0197635,0.00658782,0.0197635,0.00658782,0.0197635,0.00658782,0.0197635,0.00658782
3,178.586,1.67075,1.95557,1.39245,0.48545,0.39181,0.39667,0.2062,1.83622,2.58816,1.69526,0.0293679,0.00978929,0.0293679,0.00978929,0.0293679,0.00978929,0.0293679,0.00978929
4,230.414,1.7183,1.8597,1.43578,0.52677,0.49317,0.48302,0.24792,1.73501,1.95071,1.5197,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,281.454,1.66452,1.69054,1.40396,0.5533,0.51503,0.50054,0.2613,1.68549,1.76719,1.47093,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,334.323,1.62102,1.577,1.36229,0.58786,0.57217,0.58938,0.30938,1.66804,1.6169,1.45348,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,386.524,1.60123,1.51237,1.35159,0.64844,0.5604,0.58611,0.30382,1.68949,1.70139,1.47567,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,437.242,1.57937,1.47325,1.33933,0.55968,0.52565,0.53572,0.26204,1.78729,1.85576,1.57499,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,489.005,1.55007,1.4089,1.31377,0.678,0.64284,0.68415,0.37084,1.54464,1.30967,1.33992,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,540.221,1.52952,1.37544,1.30816,0.62598,0.59288,0.61044,0.32843,1.58014,1.55112,1.39182,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,590.281,1.51968,1.33504,1.29146,0.7112,0.61717,0.66809,0.35754,1.56294,1.38743,1.39087,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,641.691,1.51367,1.31755,1.29082,0.69672,0.66827,0.71398,0.39416,1.53376,1.26874,1.33552,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,692.466,1.50202,1.27365,1.27716,0.68604,0.64134,0.67658,0.3517,1.61358,1.35794,1.39692,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,743.857,1.48433,1.27757,1.28001,0.73511,0.68561,0.73516,0.39743,1.5522,1.19764,1.33077,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,793.947,1.48613,1.2574,1.26755,0.72617,0.70367,0.75181,0.41616,1.50329,1.17545,1.32175,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
