analysis_label,method,auroc,auprc,auroc_bootstrap_mean,auroc_lower_95,auroc_upper_95,auroc_valid_replicates,auroc_invalid_replicates,auprc_bootstrap_mean,auprc_lower_95,auprc_upper_95,auprc_valid_replicates,auprc_invalid_replicates
Secondary IoU>=0.75 sensitivity analysis,raw_confidence_risk,0.9321208193443491,0.9851034986239191,0.932035442793203,0.9213098025570845,0.942183969783567,10000,0,0.9850912657532958,0.9816140654244765,0.9881345874660216,10000,0
Secondary IoU>=0.75 sensitivity analysis,calibrated_confidence_risk,0.9321208193443491,0.9851034986239191,0.932035442793203,0.9213098025570845,0.942183969783567,10000,0,0.9850912657532958,0.9816140654244765,0.9881345874660216,10000,0
Secondary IoU>=0.75 sensitivity analysis,class_consistency_risk,0.6766465582632056,0.9106295539994559,0.6768458999324325,0.6618691137990976,0.6920858511645437,10000,0,0.9106040145599129,0.9019495028509159,0.9187776456414407,10000,0
Secondary IoU>=0.75 sensitivity analysis,localisation_risk,0.8835856629357295,0.9768451265111465,0.8834838820904277,0.86896394337296,0.8973122110541987,10000,0,0.9768114296410669,0.973142563618103,0.9801927316926548,10000,0
Secondary IoU>=0.75 sensitivity analysis,calibrated_plus_class_risk,0.9310816144546611,0.9851797519952088,0.9310051757741299,0.9201830144729879,0.9412014437258949,10000,0,0.9851605224427141,0.9820791039240035,0.987917436267575,10000,0
Secondary IoU>=0.75 sensitivity analysis,calibrated_plus_localisation_risk,0.9360661595710641,0.987632506165552,0.9359819668152086,0.9257072172150176,0.9456703073606002,10000,0,0.9876131838044221,0.9853040358725639,0.9897611803321212,10000,0
Secondary IoU>=0.75 sensitivity analysis,class_plus_localisation_risk,0.8808265236013858,0.9750988922042675,0.8807510564176276,0.8665376391310186,0.8946585623086662,10000,0,0.9750746600008068,0.971187431271395,0.9786746639726429,10000,0
Secondary IoU>=0.75 sensitivity analysis,trustpcb_risk,0.9325481635245256,0.9863384871985983,0.9324599603028121,0.9218713452170622,0.9425332745801391,10000,0,0.9863152391448969,0.9837158710114817,0.9887396632748848,10000,0
