signal,group,count,mean,standard_deviation,q1,median,q3
calibrated_confidence,correct,3803,0.7237310721621953,0.28811444432827377,0.5963495508977162,0.8336061184243156,0.9476816400848715
calibrated_confidence,incorrect,14037,0.07920661300659818,0.1642187443229709,0.009774606838431486,0.018211794319595798,0.05262247783311297
class_consistency,correct,3803,0.9884827767551932,0.0573542123202025,1.0,1.0,1.0
class_consistency,incorrect,14037,0.9125988459072449,0.14209771789648676,0.875,1.0,1.0
localisation_stability,correct,3803,0.9503695785096749,0.03852574888195636,0.9390921747605379,0.9611839343431263,0.9746086887746888
localisation_stability,incorrect,14037,0.8505682023885219,0.10118917348050424,0.8063822072907291,0.8768000854735185,0.9236948805813305
