analysis_label,method,auroc,auprc,auroc_bootstrap_mean,auroc_lower_95,auroc_upper_95,auroc_valid_replicates,auroc_invalid_replicates,auprc_bootstrap_mean,auprc_lower_95,auprc_upper_95,auprc_valid_replicates,auprc_invalid_replicates
Primary IoU>=0.50 final-test evaluation,raw_confidence_risk,0.9530611231040702,0.9835656980279245,0.953049264947969,0.9482184384804774,0.9577875325264893,10000,0,0.9835552766917001,0.9812240868859466,0.9857832507460422,10000,0
Primary IoU>=0.50 final-test evaluation,calibrated_confidence_risk,0.9530611231040702,0.9835656980279245,0.953049264947969,0.9482184384804774,0.9577875325264893,10000,0,0.9835552766917001,0.9812240868859466,0.9857832507460422,10000,0
Primary IoU>=0.50 final-test evaluation,class_consistency_risk,0.6713430870905002,0.8600334421093586,0.6713087515253766,0.6618803850600365,0.6808535927315852,10000,0,0.8599678197413702,0.8531212044649988,0.8665145651464142,10000,0
Primary IoU>=0.50 final-test evaluation,localisation_risk,0.8687740868012492,0.9582277394270514,0.8687782923970131,0.8615020922800244,0.8760711727574664,10000,0,0.9582063705551893,0.9547754113461261,0.9614535804768747,10000,0
Primary IoU>=0.50 final-test evaluation,calibrated_plus_class_risk,0.9465439569002031,0.9783760704812995,0.946535821149412,0.9411388323888622,0.951761944476263,10000,0,0.9783636210280596,0.975334009794557,0.9812451316159975,10000,0
Primary IoU>=0.50 final-test evaluation,calibrated_plus_localisation_risk,0.9530598586497415,0.9845214954614783,0.9530432797807716,0.948392623314421,0.9575013723015418,10000,0,0.9845060793117264,0.9825202739135072,0.9863799111022203,10000,0
Primary IoU>=0.50 final-test evaluation,class_plus_localisation_risk,0.8651889185620416,0.9537020299614156,0.8651841685594489,0.8574421183231711,0.8728033752300459,10000,0,0.9536766265660359,0.9497471207785436,0.9574355934023129,10000,0
Primary IoU>=0.50 final-test evaluation,trustpcb_risk,0.946307316614175,0.98001983009928,0.9462995392087585,0.9409808692384772,0.951402261403028,10000,0,0.9800056901844487,0.9774458675211363,0.9824342954326986,10000,0
